,p_gender,p_race,p_att,path,p_profile,author_name,author_tag,text,p_issue,p_lean,p_retweet,retweet,quote,like,p_output,time
24,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_0.png,expert_username,Professor Chen,@ProfessorChen,"The effectiveness of vaccines should be trusted, but it's important to respect the rights of those who choose alternative methods for protecting their children's health.",Mandating_Child_vaccinations,Conservative,high,521,162,2799,female_asian_expert_username_prof_Mandating_Child_vaccinations_Conservative_reactionhigh.png,2022-07-05 14:34
25,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_6.png,expert_username,Professor Li,@ProfessorLi,Mandating child vaccinations infringes upon parental rights and personal freedom over medical decisions.,Mandating_Child_vaccinations,Conservative,low,4,0,35,female_asian_expert_username_prof_Mandating_Child_vaccinations_Conservative_reactionlow.png,2022-07-05 14:34
26,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_10.png,expert_username,Professor Li,@ProfessorLi,Mandatory child vaccinations set a dangerous precedent of government overreach.,Mandating_Child_vaccinations,Conservative,medium,97,35,240,female_asian_expert_username_prof_Mandating_Child_vaccinations_Conservative_reactionmedium.png,2022-07-05 14:34
27,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_6.png,expert_username,Professor Li,@ProfessorLi,Child vaccinations are backed by overwhelming scientific evidence and have proven to be safe and effective. Mandating vaccinations is a crucial step in eradicating preventable diseases.,Mandating_Child_vaccinations,Liberal,high,711,162,3035,female_asian_expert_username_prof_Mandating_Child_vaccinations_Liberal_reactionhigh.png,2022-07-05 14:34
28,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_11.png,expert_username,Professor Kim,@ProfessorKim,Child vaccinations not only protect the vaccinated child but also shield those who are unable to receive vaccines due to medical reasons.,Mandating_Child_vaccinations,Liberal,low,0,1,25,female_asian_expert_username_prof_Mandating_Child_vaccinations_Liberal_reactionlow.png,2022-07-05 14:34
29,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_10.png,expert_username,Professor Kim,@ProfessorKim,Child vaccinations are backed by overwhelming scientific evidence and have proven to be safe and effective. Mandating vaccinations is a crucial step in eradicating preventable diseases.,Mandating_Child_vaccinations,Liberal,medium,97,45,142,female_asian_expert_username_prof_Mandating_Child_vaccinations_Liberal_reactionmedium.png,2022-07-05 14:34
30,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_8.png,expert_username,Professor Meng,@ProfessorMeng,"Nuclear power plants generate electricity without emitting greenhouse gases, making them a key solution for future generations.",Nuclear_Energy,Conservative,high,521,173,3035,female_asian_expert_username_prof_Nuclear_Energy_Conservative_reactionhigh.png,2022-07-05 14:34
31,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_6.png,expert_username,Professor Meng,@ProfessorMeng,"Nuclear energy can help decrease air pollution, improving public health and the environment.",Nuclear_Energy,Conservative,low,4,2,35,female_asian_expert_username_prof_Nuclear_Energy_Conservative_reactionlow.png,2022-07-05 14:34
32,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_3.png,expert_username,Professor Chen,@ProfessorChen,Investing in nuclear energy research and development can support economic growth and create high-paying jobs in the technology sector.,Nuclear_Energy,Conservative,medium,77,24,103,female_asian_expert_username_prof_Nuclear_Energy_Conservative_reactionmedium.png,2022-07-05 14:34
33,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_3.png,expert_username,Professor Meng,@ProfessorMeng,"Renewable energy sources like solar and wind are safer, cheaper, and more sustainable than nuclear power.",Nuclear_Energy,Liberal,high,711,238,2733,female_asian_expert_username_prof_Nuclear_Energy_Liberal_reactionhigh.png,2022-07-05 14:34
34,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_6.png,expert_username,Professor Li,@ProfessorLi,"Nuclear energy is not cost-effective, and the high upfront costs of building and maintaining nuclear plants cannot be justified.",Nuclear_Energy,Liberal,low,4,0,35,female_asian_expert_username_prof_Nuclear_Energy_Liberal_reactionlow.png,2022-07-05 14:34
35,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_10.png,expert_username,Professor Chen,@ProfessorChen,"Renewable energy sources like solar and wind are safer, cheaper, and more sustainable than nuclear power.",Nuclear_Energy,Liberal,medium,77,45,103,female_asian_expert_username_prof_Nuclear_Energy_Liberal_reactionmedium.png,2022-07-05 14:34
36,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_8.png,expert_username,Professor Chen,@ProfessorChen,Private investment options for Social Security would create competition and drive better returns for retirees.,Privatize_Social_Security,Conservative,high,521,238,2799,female_asian_expert_username_prof_Privatize_Social_Security_Conservative_reactionhigh.png,2022-07-05 14:34
37,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_4.png,expert_username,Professor Chen,@ProfessorChen,The current Social Security system is unsustainable in the long run. Allowing private investment would introduce innovative solutions and ensure a secure retirement for future generations.,Privatize_Social_Security,Conservative,low,0,0,25,female_asian_expert_username_prof_Privatize_Social_Security_Conservative_reactionlow.png,2022-07-05 14:34
38,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_1.png,expert_username,Professor Meng,@ProfessorMeng,Private investment options for Social Security would create competition and drive better returns for retirees.,Privatize_Social_Security,Conservative,medium,97,24,103,female_asian_expert_username_prof_Privatize_Social_Security_Conservative_reactionmedium.png,2022-07-05 14:34
39,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_10.png,expert_username,Professor Meng,@ProfessorMeng,The current Social Security system has been successful in lifting millions of seniors out of poverty. Privatization would jeopardize this progress and leave many elderly Americans struggling to make ends meet.,Privatize_Social_Security,Liberal,high,521,162,2799,female_asian_expert_username_prof_Privatize_Social_Security_Liberal_reactionhigh.png,2022-07-05 14:34
40,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_6.png,expert_username,Professor Chen,@ProfessorChen,Allowing private investment of Social Security funds would expose retirees to the volatility of the stock market. We cannot gamble with the hard-earned savings of our seniors.,Privatize_Social_Security,Liberal,low,4,2,35,female_asian_expert_username_prof_Privatize_Social_Security_Liberal_reactionlow.png,2022-07-05 14:34
41,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_11.png,expert_username,Professor Meng,@ProfessorMeng,Allowing private investment of Social Security funds would expose retirees to the volatility of the stock market. We cannot gamble with the hard-earned savings of our seniors.,Privatize_Social_Security,Liberal,medium,77,24,103,female_asian_expert_username_prof_Privatize_Social_Security_Liberal_reactionmedium.png,2022-07-05 14:34
42,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_9.png,expert_username,Professor Meng,@ProfessorMeng,Tort reform can also improve public safety by holding companies accountable for their actions and preventing negligent behavior.,Tort_Reform,Conservative,high,521,238,2799,female_asian_expert_username_prof_Tort_Reform_Conservative_reactionhigh.png,2022-07-05 14:34
43,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_4.png,expert_username,Professor Chen,@ProfessorChen,"By limiting excessive damages and lowering the cost of litigation, tort reform can encourage innovation and support economic growth.",Tort_Reform,Conservative,low,4,1,41,female_asian_expert_username_prof_Tort_Reform_Conservative_reactionlow.png,2022-07-05 14:34
44,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_3.png,expert_username,Professor Chen,@ProfessorChen,"A balanced and fair tort system benefits both businesses and consumers, and is essential for a healthy and thriving economy.",Tort_Reform,Conservative,medium,97,24,240,female_asian_expert_username_prof_Tort_Reform_Conservative_reactionmedium.png,2022-07-05 14:34
45,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_3.png,expert_username,Professor Meng,@ProfessorMeng,Limiting damages in personal injury cases and through tort reform only hurts victims and their families.,Tort_Reform,Liberal,high,521,162,2799,female_asian_expert_username_prof_Tort_Reform_Liberal_reactionhigh.png,2022-07-05 14:34
46,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_6.png,expert_username,Professor Meng,@ProfessorMeng,Limiting damages in personal injury cases and through tort reform only hurts victims and their families.,Tort_Reform,Liberal,low,0,2,41,female_asian_expert_username_prof_Tort_Reform_Liberal_reactionlow.png,2022-07-05 14:34
47,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_7.png,expert_username,Professor Meng,@ProfessorMeng,Limiting damages in personal injury cases and through tort reform only hurts victims and their families.,Tort_Reform,Liberal,medium,97,24,103,female_asian_expert_username_prof_Tort_Reform_Liberal_reactionmedium.png,2022-07-05 14:34
48,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_6.png,regular_username,Grace Meng,@GraceMeng,Abortion is a violation of the right to life of the most vulnerable and innocent among us.,Abortion,Conservative,high,711,162,2733,female_asian_regular_username_prof_Abortion_Conservative_reactionhigh.png,2022-07-05 14:34
49,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_0.png,regular_username,Li Chen,@LiChen,"Abortion is not healthcare, it is the taking of a human life.",Abortion,Conservative,low,4,1,25,female_asian_regular_username_prof_Abortion_Conservative_reactionlow.png,2022-07-05 14:34
50,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_7.png,regular_username,Li Chen,@LiChen,"Abortion does not empower women, it exploits them and denies them the opportunity to be mothers.",Abortion,Conservative,medium,77,45,103,female_asian_regular_username_prof_Abortion_Conservative_reactionmedium.png,2022-07-05 14:34
51,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_1.png,regular_username,Grace Meng,@GraceMeng,Abortion is a necessary healthcare option that allows women to have control over their own bodies and lives.,Abortion,Liberal,high,801,162,3035,female_asian_regular_username_prof_Abortion_Liberal_reactionhigh.png,2022-07-05 14:34
52,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_11.png,regular_username,Li Chen,@LiChen,Denying women access to abortion only puts their health and lives at risk.,Abortion,Liberal,low,0,1,41,female_asian_regular_username_prof_Abortion_Liberal_reactionlow.png,2022-07-05 14:34
53,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_10.png,regular_username,Jane Li,@JaneLi,"Supporting abortion access means supporting women's equality and autonomy, and their right to make decisions about their own lives.",Abortion,Liberal,medium,97,35,142,female_asian_regular_username_prof_Abortion_Liberal_reactionmedium.png,2022-07-05 14:34
54,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_10.png,regular_username,Li Kim,@LiKim,"Granting automatic citizenship to children of illegal immigrants undermines the integrity of our immigration system. We must prioritize the needs of American citizens and legal immigrants, and ending birthright citizenship is a crucial step in ensuring fairness.",Ban_birthright_citizenship_for_children_of_illegal_immigrants,Conservative,high,711,238,2799,female_asian_regular_username_prof_Ban_birthright_citizenship_for_children_of_illegal_immigrants_Conservative_reactionhigh.png,2022-07-05 14:34
55,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_9.png,regular_username,Jane Li,@JaneLi,"Ending birthright citizenship for children of illegal immigrants is a defense of our national values. We should welcome those who come to our country legally, respecting our laws and contributing to our society.",Ban_birthright_citizenship_for_children_of_illegal_immigrants,Conservative,low,4,0,25,female_asian_regular_username_prof_Ban_birthright_citizenship_for_children_of_illegal_immigrants_Conservative_reactionlow.png,2022-07-05 14:34
56,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_3.png,regular_username,Li Kim,@LiKim,"Granting automatic citizenship to children of illegal immigrants undermines the integrity of our immigration system. We must prioritize the needs of American citizens and legal immigrants, and ending birthright citizenship is a crucial step in ensuring fairness.",Ban_birthright_citizenship_for_children_of_illegal_immigrants,Conservative,medium,97,24,240,female_asian_regular_username_prof_Ban_birthright_citizenship_for_children_of_illegal_immigrants_Conservative_reactionmedium.png,2022-07-05 14:34
57,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_3.png,regular_username,Li Kim,@LiKim,"Birthright citizenship is a cornerstone of our nation's identity as a land of immigrants. Instead of divisive measures, let's focus on creating a fair and efficient immigration system that reflects our values.",Ban_birthright_citizenship_for_children_of_illegal_immigrants,Liberal,high,801,173,2733,female_asian_regular_username_prof_Ban_birthright_citizenship_for_children_of_illegal_immigrants_Liberal_reactionhigh.png,2022-07-05 14:34
58,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_10.png,regular_username,Grace Meng,@GraceMeng,Birthright citizenship is not a loophole; it's a constitutional right enshrined in the 14th Amendment. It guarantees equal protection under the law to all individuals born on American soil. Let's reject attempts to undermine the rights of immigrant children.,Ban_birthright_citizenship_for_children_of_illegal_immigrants,Liberal,low,4,2,35,female_asian_regular_username_prof_Ban_birthright_citizenship_for_children_of_illegal_immigrants_Liberal_reactionlow.png,2022-07-05 14:34
59,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_9.png,regular_username,Grace Meng,@GraceMeng,Birthright citizenship is a fundamental principle of equality. Ending it for children of illegal immigrants would go against our values as a nation that believes in providing a fair chance for all.,Ban_birthright_citizenship_for_children_of_illegal_immigrants,Liberal,medium,77,24,142,female_asian_regular_username_prof_Ban_birthright_citizenship_for_children_of_illegal_immigrants_Liberal_reactionmedium.png,2022-07-05 14:34
60,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_7.png,regular_username,Grace Meng,@GraceMeng,"Criminals will always find ways to obtain guns, regardless of the laws in place.",Gun_Control,Conservative,high,521,162,2799,female_asian_regular_username_prof_Gun_Control_Conservative_reactionhigh.png,2022-07-05 14:34
61,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_9.png,regular_username,Li Chen,@LiChen,Guns do not commit crimes. Humans do. Gun control does not prevent violence.,Gun_Control,Conservative,low,0,1,25,female_asian_regular_username_prof_Gun_Control_Conservative_reactionlow.png,2022-07-05 14:34
62,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_4.png,regular_username,Li Chen,@LiChen,Guns do not commit crimes. Humans do. Gun control does not prevent violence.,Gun_Control,Conservative,medium,77,24,240,female_asian_regular_username_prof_Gun_Control_Conservative_reactionmedium.png,2022-07-05 14:34
63,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_10.png,regular_username,Li Chen,@LiChen,"Gun control is not about taking away guns from law-abiding citizens, it's about saving lives and making our communities safer.",Gun_Control,Liberal,high,801,173,2733,female_asian_regular_username_prof_Gun_Control_Liberal_reactionhigh.png,2022-07-05 14:34
64,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_2.png,regular_username,Li Kim,@LiKim,Gun ownership should not be unlimited. Reasonable regulations are necessary to keep communities safe.,Gun_Control,Liberal,low,0,2,41,female_asian_regular_username_prof_Gun_Control_Liberal_reactionlow.png,2022-07-05 14:34
65,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_5.png,regular_username,Li Chen,@LiChen,The 2nd amendment does not give individuals the right to own military-style weapons or to use them to commit acts of violence.,Gun_Control,Liberal,medium,77,45,142,female_asian_regular_username_prof_Gun_Control_Liberal_reactionmedium.png,2022-07-05 14:34
66,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_3.png,regular_username,Li Chen,@LiChen,"Mandatory labeling of genetically modified foods would drive up costs for farmers and consumers, without providing any meaningful benefit.",Labeling_GMOs,Conservative,high,711,238,2733,female_asian_regular_username_prof_Labeling_GMOs_Conservative_reactionhigh.png,2022-07-05 14:34
67,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_10.png,regular_username,Grace Meng,@GraceMeng,Labeling genetically modified foods would undermine American competitiveness in the global market by preventing farmers from using the best tools available.,Labeling_GMOs,Conservative,low,4,1,35,female_asian_regular_username_prof_Labeling_GMOs_Conservative_reactionlow.png,2022-07-05 14:34
68,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_11.png,regular_username,Li Kim,@LiKim,Labeling genetically modified foods would unfairly stigmatize a proven safe and beneficial technology.,Labeling_GMOs,Conservative,medium,97,24,240,female_asian_regular_username_prof_Labeling_GMOs_Conservative_reactionmedium.png,2022-07-05 14:34
69,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_2.png,regular_username,Jane Li,@JaneLi,Labeling genetically modified foods strengthens our food system by increasing trust between consumers and producers.,Labeling_GMOs,Liberal,high,711,173,3035,female_asian_regular_username_prof_Labeling_GMOs_Liberal_reactionhigh.png,2022-07-05 14:34
70,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_4.png,regular_username,Grace Meng,@GraceMeng,Mandatory labeling of genetically modified foods ensures equity and protects those with dietary restrictions or allergies.,Labeling_GMOs,Liberal,low,0,0,25,female_asian_regular_username_prof_Labeling_GMOs_Liberal_reactionlow.png,2022-07-05 14:34
71,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_3.png,regular_username,Grace Meng,@GraceMeng,Labeling genetically modified foods promotes sustainability and supports the growing demand for organic and non-GMO options.,Labeling_GMOs,Liberal,medium,77,24,240,female_asian_regular_username_prof_Labeling_GMOs_Liberal_reactionmedium.png,2022-07-05 14:34
72,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_10.png,regular_username,Li Chen,@LiChen,"Imposing mandatory child vaccinations disregards individual health circumstances. Medical decisions should be made on a case-by-case basis, not through one-size-fits-all mandates.",Mandating_Child_vaccinations,Conservative,high,521,238,2733,female_asian_regular_username_prof_Mandating_Child_vaccinations_Conservative_reactionhigh.png,2022-07-05 14:34
73,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_4.png,regular_username,Li Chen,@LiChen,Forcing parents to vaccinate their children removes individual choice and disregards differing beliefs and medical considerations.,Mandating_Child_vaccinations,Conservative,low,4,0,35,female_asian_regular_username_prof_Mandating_Child_vaccinations_Conservative_reactionlow.png,2022-07-05 14:34
74,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_9.png,regular_username,Jane Li,@JaneLi,"Imposing mandatory child vaccinations disregards individual health circumstances. Medical decisions should be made on a case-by-case basis, not through one-size-fits-all mandates.",Mandating_Child_vaccinations,Conservative,medium,72,45,142,female_asian_regular_username_prof_Mandating_Child_vaccinations_Conservative_reactionmedium.png,2022-07-05 14:34
75,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_5.png,regular_username,Grace Meng,@GraceMeng,Mandatory child vaccinations prioritize the rights and well-being of all children. It ensures that every child has an equal opportunity to grow up in a healthy environment.,Mandating_Child_vaccinations,Liberal,high,711,238,2799,female_asian_regular_username_prof_Mandating_Child_vaccinations_Liberal_reactionhigh.png,2022-07-05 14:34
76,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_11.png,regular_username,Grace Meng,@GraceMeng,Child vaccinations not only protect the vaccinated child but also shield those who are unable to receive vaccines due to medical reasons.,Mandating_Child_vaccinations,Liberal,low,0,2,35,female_asian_regular_username_prof_Mandating_Child_vaccinations_Liberal_reactionlow.png,2022-07-05 14:34
77,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_10.png,regular_username,Grace Meng,@GraceMeng,Child vaccinations not only protect the vaccinated child but also shield those who are unable to receive vaccines due to medical reasons.,Mandating_Child_vaccinations,Liberal,medium,77,35,103,female_asian_regular_username_prof_Mandating_Child_vaccinations_Liberal_reactionmedium.png,2022-07-05 14:34
78,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_11.png,regular_username,Jane Li,@JaneLi,"Advanced nuclear technologies are safer and more efficient than older designs, and can provide a stable source of energy for decades.",Nuclear_Energy,Conservative,high,711,173,2799,female_asian_regular_username_prof_Nuclear_Energy_Conservative_reactionhigh.png,2022-07-05 14:34
